title,release_date,vote_count,vote_average
Craig Ferguson: A Wee Bit o' Revolution,2009-03-22,3.0,5.3
"Bo Burnham: Words, Words, Words",2010-10-19,17.0,6.8
Kathleen Madigan: Gone Madigan,2010-12-17,4.0,6.8
Jim Norton: American Degenerate,2013-08-23,5.0,7.3
Jim Jefferies: BARE,2014-08-29,35.0,7.7
The Killer Must Kill Again,1975-03-07,11.0,6.6
"Dr. Black, Mr. Hyde",1976-01-01,3.0,6.3
Finders Killers,1971-03-27,0.0,0.0
The Dead Are Alive,1972-05-25,7.0,5.6
Four Gunmen of the Holy Trinity,1971-05-29,0.0,0.0
The New Kids,1985-01-18,13.0,5.7
When Good Ghouls Go Bad,2001-10-20,6.0,3.8
Not Safe for Work,2014-05-09,44.0,4.8
The Little Devil,1988-07-01,85.0,6.6
Killing Kennedy,2013-11-10,34.0,5.5
People in Places,2013-12-20,2.0,5.0
Scorpion in Love,2013-04-12,7.0,6.9
Anita,2009-10-15,5.0,6.1
Scooby-Doo in Arabian Nights,1994-09-03,15.0,5.8
Beer for My Horses,2008-08-08,9.0,5.3
Beethoven's 3rd,2000-07-25,63.0,4.4
Beethoven's 5th,2003-12-02,34.0,4.5
Beethoven's Big Break,2008-12-26,26.0,4.3
Beethoven's Treasure Tail,2014-10-02,6.0,6.7
Beethoven's Christmas Adventure,2011-11-08,20.0,5.3
City That Never Sleeps,1953-06-12,6.0,6.4
Cody the Robosapien,2013-04-01,21.0,5.4
Contest,2013-12-31,5.0,4.4
Freedom Song,2000-02-27,0.0,0.0
Ricco,1973-08-27,1.0,6.5
Greetings from Tim Buckley,2012-09-09,10.0,5.5
Griffin and Phoenix,1976-02-27,0.0,0.0
Hard Promises,1991-09-14,1.0,6.0
Harry & Son,1984-03-02,16.0,5.1
Hercules,2005-04-01,14.0,5.0
"Lightning, the White Stallion",1986-10-17,0.0,0.0
Little Monsters,2012-01-02,1.0,6.0
Madison Avenue,1962-01-07,0.0,0.0
One Man's Justice,1996-07-26,2.0,5.5
Pulse,1987-12-31,17.0,4.7
Ride 'Em Cowboy,1942-02-13,7.0,6.7
Shadow,2010-05-14,21.0,5.5
Shadow,1956-05-01,2.0,5.5
Shadow,1971-09-18,4.0,6.4
St. Louis Blues,1958-04-07,1.0,7.0
Stormy Weather,1943-07-21,8.0,6.9
Stormy Weather,2003-09-07,2.0,6.3
The Adventures of Hercules,1985-08-26,7.0,5.4
The Borrowers,1973-12-14,1.0,6.0
Brothers Karamazov,1968-12-25,4.0,5.5
Murder by Phone,1982-12-01,5.0,4.8
The Corsican Brothers,1941-11-28,3.0,6.8
The Great Scout & Cathouse Thursday,1976-06-23,7.0,4.4
The Heavenly Kid,1985-07-26,18.0,6.0
The Plague,2006-09-05,14.0,5.6
The Plague,1992-01-01,7.0,5.1
The Plague,2013-02-07,2.0,7.0
Three Many Weddings,2013-12-05,54.0,6.2
A Madea Christmas,2011-11-22,8.0,5.8
Inseparable,2011-10-08,10.0,5.9
Fric-Frac,1939-06-15,3.0,7.0
Sylvia and the Ghost,1946-02-06,0.0,0.0
Keep an Eye on Amelia,1949-12-16,1.0,5.0
The Red Inn,1951-10-19,14.0,6.6
Le rouge et le noir,1954-10-29,2.0,6.3
Love Is My Profession,1958-09-17,10.0,6.8
The Oldest Profession,1967-04-21,4.0,5.5
Backroads,1977-06-27,2.0,6.5
The Long and the Short and the Tall,1961-02-28,7.0,7.3
Austin High,2011-10-22,3.0,6.7
They All Lie,2009-03-28,2.0,5.5
The Princess of Egypt,2013-06-13,2.0,6.5
"The Tree, the Mayor and the Mediatheque",1993-02-10,7.0,7.5
Charlie Victor Romeo,2014-01-29,1.0,6.0
Monty Python - Almost the Truth (The Lawyer's Cut),2009-10-04,2.0,7.0
Super Duper Alice Cooper,2014-04-17,6.0,6.4
Lunopolis,2009-01-01,11.0,5.3
The Mayor of Casterbridge,2003-12-28,3.0,6.3
Beck 04 - Öga för öga,1998-03-27,6.0,6.3
Uuno Epsanjassa,1985-09-27,8.0,6.5
The Hateful Eight,2015-12-25,4405.0,7.6
Burn Paris Burn,2008-11-12,2.0,5.0
Patton Oswalt: Tragedy Plus Comedy Equals Time,2014-01-17,7.0,6.9
The Anderssons in Greece: All Inclusive,2012-12-21,13.0,5.2
Pororo: The Racing Adventure,2013-11-17,2.0,6.0
Emergency Squad,1974-04-24,4.0,5.9
"Blood, Sweat and Fear",1975-08-01,0.0,0.0
Mark Shoots First,1975-12-22,0.0,0.0
La Legge Violenta Della Squadra Anticrimine,1976-12-30,0.0,0.0
The Last Round,1976-12-30,0.0,0.0
Mark Strikes Again,1976-10-20,0.0,0.0
Destruction Force,1977-10-01,2.0,7.5
Highway Racer,1977-10-19,2.0,7.5
The Iron Commissioner,1978-01-01,0.0,0.0
Magnum Cop,1978-02-03,2.0,4.5
Convoy Busters,1978-12-23,2.0,7.0
Hunted City,1979-09-27,2.0,4.5
Speed Cross,1980-02-02,1.0,2.0
Stray Dogs,2014-02-21,19.0,7.1
Super Bitch,1973-03-05,2.0,6.5
What Have You Done to Solange?,1972-03-09,30.0,7.2
Goodbye & Amen,1978-02-08,1.0,10.0
A Man on His Knees,1979-04-13,1.0,4.0
L'avvertimento,1980-08-15,0.0,0.0
Point and Shoot,2014-04-19,18.0,7.1
Haemoo,2014-08-13,35.0,6.5
La petite reine,2014-06-13,4.0,5.5
The Legend of Lizzie Borden,1975-02-10,6.0,5.8
Little Accidents,2015-01-16,28.0,5.2
Processo per direttissima,1976-06-09,0.0,0.0
Counselor at Crime,1973-08-30,0.0,0.0
A Christmas Kiss,2011-11-12,37.0,6.1
Eurocrime! The Italian Cop and Gangster Films That Ruled the '70s,2012-03-30,4.0,8.0
7 Hours of Violence,1973-11-15,1.0,3.5
Wild Card,2015-01-14,665.0,5.4
Flow,2014-05-08,0.0,0.0
Lasa & Zabala,2014-10-17,5.0,6.8
Rent-a-Cat,2012-05-12,10.0,6.6
Valley of Flowers,2006-07-15,5.0,7.4
Attila Marcel,2013-11-06,21.0,6.6
Paper Towns,2015-06-18,1997.0,6.1
We Cause Scenes,2014-01-08,4.0,7.8
Sacred Heart,2005-02-25,16.0,7.4
The Wonders,2014-05-22,37.0,6.6
The Wedding Ringer,2015-01-16,632.0,6.5
Absence of the Good,1999-10-15,3.0,3.3
Scam,1993-05-22,1.0,6.5
Marilyn: The Untold Story,1980-11-10,1.0,6.5
Naan Kadavul,2009-02-06,4.0,7.5
Üvegtigris,2001-10-18,12.0,8.5
My Mistress,2014-08-14,16.0,5.9
The Gruffalo's Child,2011-12-25,40.0,6.4
Wyrmwood: Road Of The Dead,2014-09-19,173.0,6.3
Hits,2014-01-21,23.0,4.9
Brothers: The Return,2006-03-10,2.0,5.0
Sällskapsresan II - Snowroller,1985-10-03,22.0,5.2
SOS,1988-12-25,19.0,4.7
The Master Plan,2015-01-16,16.0,6.6
Ego,2013-01-24,12.0,5.6
Jönssonligan får guldfeber,1984-10-19,14.0,5.3
Jönssonligan dyker upp igen,1986-10-24,15.0,5.3
Jönssonligan på Mallorca,1989-11-03,12.0,4.7
Jönssonligan och den svarta diamanten,1992-10-30,11.0,4.9
Jönssonligans största kupp,1995-02-03,7.0,5.6
Jönssonligan spelar högt,2000-12-25,6.0,4.5
Summer House,2013-04-21,1.0,3.0
Everyone Loves Alice,2002-10-04,2.0,7.0
Nils Karlsson Pyssling,1990-11-09,5.0,5.8
Studentfesten,2013-04-19,7.0,4.5
Kvarteret Skatan reser till Laholm,2012-03-16,5.0,5.0
Once in a Lifetime,2000-11-10,7.0,3.6
At Point Blank,2003-12-13,5.0,4.5
Kommissarie Späck,2010-06-04,8.0,5.1
10 000 timmar,2014-04-04,6.0,4.8
Lilla Jönssonligan och Cornflakeskuppen,1996-11-29,7.0,5.1
Lilla Jönssonligan på styva linan,1997-01-01,7.0,5.1
The Boy Next Door,2015-01-23,1034.0,4.1
Boy Meets Girl,2015-02-06,36.0,7.0
Let My Puppets Come,1976-02-14,1.0,8.0
The Adventure of Faustus Bidgood,1986-01-02,1.0,7.0
John Doe: Vigilante,2014-03-21,57.0,6.7
Hearty Paws,2006-10-25,1.0,6.0
Knight of Cups,2015-02-08,198.0,5.7
45 Years,2015-08-28,259.0,6.3
Diary of a Chambermaid,2015-02-07,41.0,5.2
Volcano,2015-01-20,16.0,6.6
Body,2015-01-20,12.0,6.3
Endless Night,2015-11-27,21.0,5.6
As We Were Dreaming,2015-02-10,19.0,7.2
Cloud 9,2008-05-17,11.0,5.6
Victoria,2015-06-11,388.0,7.9
Heavenly Forest,2006-10-28,22.0,7.3
Petting Zoo,2015-02-10,5.0,7.0
The Golden Dream,2013-12-04,36.0,6.8
The Only Ones,2013-12-27,3.0,5.8
Welcome Home Brother Charles,1975-11-11,1.0,5.0
Home Sweet Hell,2015-03-13,187.0,5.0
Invisible Ghost,1941-04-25,9.0,5.3
Everybody Wins,1990-01-19,7.0,4.1
General Spanky,1936-12-11,0.0,0.0
Jamie Marks Is Dead,2014-08-29,34.0,5.5
Slam Dance,1987-10-02,4.0,4.5
The Man Who Wouldn't Die,1994-06-13,0.0,0.0
The Shepherd,1999-01-01,1.0,5.0
Wiseguy,1996-05-02,1.0,4.0
Wild Geese II,1985-10-18,11.0,4.0
Timbuktu,2014-12-10,152.0,6.9
Casting Couch,2013-03-11,7.0,3.0
Hollow Point,1996-10-21,7.0,4.4
Zeder,1983-08-25,14.0,5.8
The Year Without a Santa Claus,1974-12-10,33.0,6.7
From Morn to Midnight,1920-01-01,3.0,7.7
Artifact,2012-09-14,41.0,7.6
Sputnik,2013-10-24,3.0,6.0
Kolmistaan,2008-02-01,1.0,4.0
Adult Camp,2015-01-23,1.0,6.0
Expecting a Miracle,2009-01-10,2.0,3.0
The Dark Valley,2014-02-14,113.0,7.1
The Maids,1975-04-21,3.0,5.2
Priest of Love,1981-10-11,0.0,0.0
Standing Ovation,2010-07-16,6.0,3.9
Grizzly Falls,1999-11-05,3.0,4.0
Green Ice,1981-05-01,5.0,4.4
Waltz Across Texas,1982-10-01,0.0,0.0
Eloise at the Plaza,2003-01-01,14.0,5.7
One Last Hug,2014-04-14,1.0,8.0
Two Men in Town,2014-02-06,32.0,5.9
Vesna Goes Fast,1996-09-04,8.0,7.2
James Dean,2001-08-04,31.0,6.9
Eloise at Christmastime,2003-11-23,15.0,5.1
Bizarre,2015-02-07,11.0,6.2
I'm Here,2010-03-01,53.0,7.4
Rigoletto,1993-07-13,6.0,6.7
Closure,2013-12-01,1.0,8.0
"Spy, Stand Up",1982-01-27,6.0,6.1
The Purple Taxi,1977-05-20,3.0,6.0
Judge Fayard Called the Sheriff,1977-01-12,5.0,6.3
The Common Man,1975-02-26,5.0,5.6
The Assassination,1972-10-11,5.0,6.3
Angel's Leap,1971-09-21,2.0,5.0
Safety Catch,1970-04-07,1.0,7.5
And Hope to Die,1972-09-15,1.0,6.5
Quicker Than the Eye,1990-06-13,0.0,0.0
Twelve Plus One,1969-10-06,4.0,5.3
The Blonde from Peking,1967-08-25,1.0,7.5
Un milliard dans un billard,1965-10-07,0.0,0.0
Joy House,1964-06-12,6.0,6.8
The Joy of Living,1961-05-11,3.0,6.2
Monsieur Ripois,1954-09-30,2.0,2.5
The Walls of Malapaga,1949-11-16,4.0,4.5
Reformat the Planet,2008-01-01,1.0,8.0
Scandali nudi,1968-12-22,0.0,0.0
Drew: The Man Behind the Poster,2013-08-16,11.0,7.5
Blood and Diamonds,1977-01-01,0.0,0.0
Nick the Sting,1976-09-14,2.0,8.5
Plastic Bag,2009-09-07,13.0,7.5
The Last Five Years,2014-11-03,145.0,5.5
Naked,2000-12-15,4.0,5.0
The Ghosts in Our Machine,2013-04-28,3.0,8.0
Crimson Peak,2015-10-13,1494.0,6.4
As Dreamers Do,2014-05-02,7.0,4.6
Dragonheart 3: The Sorcerer's Curse,2015-02-24,82.0,4.5
12:01 PM,1990-01-01,6.0,5.8
Robin Williams: An Evening with Robin Williams,1982-01-01,11.0,7.0
The Great Los Angeles Earthquake,1990-11-11,5.0,6.8
Bride of Boogedy,1987-04-12,3.0,4.8
Chris Rock: Bigger & Blacker,1999-07-10,24.0,7.8
Chris Rock: Bring the Pain,1996-06-01,18.0,7.7
Crockdale,2011-01-01,0.0,0.0
Wasteland,1960-11-09,0.0,0.0
Beau Brummell: This Charming Man,2006-06-19,3.0,5.5
Casanova,2005-03-13,15.0,7.5
Chaar Sahibzaade,2014-11-06,4.0,6.6
Queen of the Mountains,2014-08-22,0.0,0.0
Hababam Sınıfı Sınıfta Kaldı,1975-04-15,12.0,7.8
Yesterday,1988-01-25,4.0,7.5
Anbe Sivam,2003-01-14,8.0,7.2
The Moromete Family,1987-09-28,9.0,7.4
Şaban Oğlu Şaban,1977-12-01,7.0,8.4
1 - Nenokkadine,2014-01-10,13.0,5.8
Bey Yaar,2014-08-29,3.0,8.0
The Outsider,1983-10-26,17.0,6.1
Un Papillon sur l'épaule,1978-05-03,6.0,5.6
Love at the Top,1974-03-13,8.0,6.8
Deported Women of the SS Special Section,1975-12-31,0.0,0.0
Women in Cell Block 7,1973-07-05,2.0,5.5
Life's a Breeze,2013-07-19,13.0,6.0
O Amor Natural,1996-12-05,1.0,8.0
The Forgotten Space,2010-12-31,2.0,3.5
The Runner from Ravenshead,2010-07-23,0.0,0.0
Plato's Academy,2009-07-22,9.0,7.7
Cloudburst,2011-09-23,14.0,6.6
A One-Way Trip to Antibes,2011-09-30,2.0,6.0
Mike Birbiglia: My Girlfriend's Boyfriend,2013-08-22,16.0,8.1
Tom Segura: Completely Normal,2014-03-15,8.0,8.1
Le bel indifférent,1957-12-31,1.0,6.0
Mike Birbiglia: What I Should Have Said Was Nothing,2008-02-09,11.0,7.0
Heads,1994-01-29,0.0,0.0
Heckler,2007-01-01,19.0,5.7
The High Sign,1921-04-18,18.0,7.2
Wild Honey,1972-03-22,0.0,0.0
"Ilsa, Harem Keeper of the Oil Sheiks",1976-02-29,14.0,4.6
Bare Knuckles,1977-09-08,0.0,0.0
Hollywood between Paranoia and Sci-Fi. The Power of Myth,2011-05-06,0.0,0.0
"Honey, We Shrunk Ourselves",1997-03-18,142.0,5.1
Hotel Hell Vacation,2010-02-07,8.0,5.5
"Standing Aside, Watching",2013-11-08,1.0,5.0
Kinetta,2005-03-22,4.0,5.5
House IV,1992-01-21,15.0,3.6
I Love Sarah Jane,2008-01-01,7.0,5.1
Céleste,1981-09-18,1.0,5.0
Sugarbaby,1985-10-01,4.0,6.0
Mahler on the Couch,2010-06-24,3.0,7.7
Gamera vs. Zigra,1971-07-17,8.0,3.2
Stitch! The Movie,2003-08-26,112.0,6.2
Phantom Pain,2009-04-30,8.0,5.3
The Invisible Frame,2009-11-11,5.0,7.2
Hot Tub Time Machine 2,2015-02-20,360.0,5.0
"She No Longer Talks, She Shoots",1972-08-23,2.0,4.5
Music for One Apartment and Six Drummers,2001-09-13,5.0,7.0
The Stone Council,2006-11-15,9.0,5.0
Lascars,2009-06-17,55.0,6.7
The French Kissers,2009-06-10,94.0,5.4
JohnnyExpress,2014-05-08,19.0,7.9
Calcutta,1947-08-29,2.0,5.0
Night of the Devils,1972-04-29,9.0,6.0
Up in the Wind,2013-12-31,2.0,3.0
Lovestruck: The Musical,2013-04-21,53.0,5.7
Getting Go: The Go Doc Project,2013-03-04,10.0,6.5
Eddie Izzard: Glorious,1997-11-17,21.0,6.4
Eddie Izzard: Circle,2002-11-18,10.0,7.4
Secrets of Eden,2012-02-04,6.0,4.8
The Man in the Orange Jacket,2015-02-27,7.0,5.3
Perez.,2014-10-02,20.0,6.2
The Coven,2015-02-16,1.0,2.0
Sense and Sensibility,2008-01-01,19.0,7.9
Serving Life,2011-07-28,1.0,9.0
People of the Wind,1976-01-01,0.0,0.0
A Reflection of Fear,1973-02-12,2.0,8.0
"Ilsa, the Mad Butcher",1977-01-21,16.0,5.0
Love Letters of a Portuguese Nun,1977-03-10,7.0,6.5
Blue Rita,1977-07-08,4.0,4.8
Women in Cellblock 9,1978-03-17,6.0,5.3
Love Camp,1977-10-13,5.0,6.2
Lost and Found,1979-07-13,4.0,5.0
Tragic Ceremony,1972-12-20,4.0,6.0
The Iguana with the Tongue of Fire,1971-08-24,6.0,5.0
Murder Obsession,1981-02-24,6.0,4.8
Joanna,2013-06-28,2.0,6.0
Our Curse,2013-05-28,2.0,6.0
Banklady,2013-09-29,13.0,6.3
What Other Couples Do,2013-01-01,2.0,1.5
Tokyo Fiancée,2014-09-07,32.0,6.0
La montaña rusa,2012-03-15,3.0,5.0
The Song,2014-09-26,33.0,5.9
The Testimony,1946-02-15,2.0,5.5
Lost Youth,1948-04-02,1.0,6.0
The Sea That Thinks,2000-12-20,5.0,6.8
The Clowns,1970-08-30,10.0,6.4
Memphis,2013-08-31,6.0,5.6
Cinderella,2011-10-30,9.0,5.3
Thicker than Water,2005-11-23,2.0,5.5
How to Fall in Love,2012-07-21,20.0,5.2
The Time Being,2012-09-11,8.0,4.9
Universal Soldier,1972-05-01,1.0,7.0
The Limping Man,1953-12-11,3.0,5.7
Impulse,1954-01-01,2.0,5.3
Tarzan's Savage Fury,1952-03-14,2.0,5.0
The Argyle Secrets,1948-05-07,2.0,6.0
Out of Nature,2014-09-19,9.0,7.1
Northmen: A Viking Saga,2014-09-27,127.0,5.3
Reflections,2008-06-24,5.0,3.9
Believe Me,2014-09-26,18.0,4.8
The Invisible Ones,2012-11-28,9.0,6.6
J.D.'s Revenge,1976-08-25,3.0,6.7
The Monkey Hustle,1976-12-24,2.0,5.8
Tis kakomoiras,1963-06-18,8.0,7.9
Afstiros katallilo,2008-10-23,4.0,7.5
Loaf and Camouflage,1984-10-01,9.0,7.4
Exhibition,2013-08-09,11.0,5.0
Superfast!,2015-03-05,94.0,4.5
Nocturne Indien,1989-05-26,1.0,10.0
Fort Saganne,1984-05-11,7.0,6.9
Police Python 357,1976-03-31,10.0,6.2
France société anonyme,1974-06-04,1.0,4.0
The Do-Deca-Pentathlon,2012-07-06,12.0,4.8
Adios Carmen,2013-12-08,1.0,7.0
Zero,2012-06-01,1.0,8.0
Bandaged,2009-04-03,4.0,4.8
A Gun For Jennifer,1997-07-01,3.0,7.0
Effie Gray,2014-03-08,49.0,6.2
Grigris,2013-07-10,6.0,6.7
Camp,2013-02-22,4.0,7.5
Pretty Things,2001-11-14,15.0,5.0
Wu yen,2001-01-18,1.0,6.0
Sexual Predator,2001-12-04,8.0,5.3
Broken Bridges,2006-09-08,6.0,4.3
Reality,2014-08-28,84.0,7.0
One on Top of the Other,1969-08-15,12.0,7.0
Hell Behind the Bars,1984-01-26,1.0,6.0
The Dove Must Not Fly,1970-03-11,0.0,0.0
Lo sgarbo,1975-01-01,0.0,0.0
Julia,2014-10-14,30.0,5.0
A Summer in La Goulette,1996-12-25,4.0,6.0
Schtonk!,1992-03-12,16.0,6.7
"Norte, the End of History",2013-09-29,15.0,7.1
Han Gong-ju,2015-05-08,25.0,7.3
Hysteria: The Def Leppard Story,2001-07-18,8.0,5.2
The Package,2013-02-09,36.0,4.7
A Short History of Decay,2014-05-16,2.0,6.0
Hansel and Gretel Get Baked,2013-02-19,68.0,4.8
Freeheld,2007-01-18,2.0,8.5
Focus,2015-02-25,2588.0,6.7
The Gamers,2002-11-03,13.0,6.7
Garage Sale Mystery,2013-09-14,15.0,5.9
Merchants of Doubt,2014-11-08,36.0,7.5
Every Thing Will Be Fine,2015-04-02,79.0,5.3
The Adopted,2011-11-23,29.0,6.9
History of Fear,2014-02-09,5.0,5.4
The SpongeBob Movie: Sponge Out of Water,2015-02-05,733.0,5.7
Demonic,2015-02-12,153.0,5.0
The Night Child,1975-04-22,8.0,5.9
What Have They Done to Your Daughters?,1974-08-10,13.0,7.1
Venus in Furs,1969-11-25,0.0,0.0
A Black Veil for Lisa,1968-08-11,4.0,5.4
Bandidos,1967-10-15,6.0,6.3
Heavy Petting,1989-01-01,0.0,0.0
If You Don't Stop It...You'll Go Blind!!!,1975-02-01,0.0,0.0
In God We Teach,2011-11-01,1.0,4.0
Into the Deep,1994-11-02,3.0,4.8
Marvel One-Shot: Item 47,2012-09-13,114.0,6.6
Jim Carrey: Unnatural Act,1991-01-01,13.0,7.8
Sold Out: A Threevening with Kevin Smith,2008-10-22,13.0,7.0
Lady Dragon,1992-03-13,5.0,5.7
Tomie: Unlimited,2011-05-14,9.0,4.8
La Domination Masculine,2009-11-25,4.0,5.8
Foon,2005-11-30,3.0,3.3
The Confessions of Bernhard Goetz,1987-11-10,0.0,0.0
In the Name of the Law,1949-03-13,2.0,7.0
The Magic Flute,2006-09-07,6.0,6.9
The City Defends Itself,1951-09-03,0.0,0.0
Un maledetto imbroglio,1959-10-24,6.0,6.8
Gelosia,1953-01-01,1.0,3.0
Daddy's Deadly Darling,1972-04-07,7.0,4.0
"Throw Away Your Books, Rally in the Streets",1971-04-24,6.0,8.0
The Second Best Exotic Marigold Hotel,2015-02-26,277.0,6.3
Home at Seven,1952-03-16,4.0,5.8
Love and Bullets,1979-01-01,6.0,7.1
Piggy,2012-05-03,16.0,5.2
Ugly,2013-05-17,19.0,7.2
Personal Tailor,2013-12-20,6.0,5.4
Hank and Asha,2014-04-11,2.0,4.0
Thank You a Lot,2014-03-07,0.0,0.0
Le party,1990-02-02,2.0,7.5
Legalese,1998-10-04,1.0,4.0
Little Sister,1992-09-16,3.0,4.0
Ingenious,2009-02-01,25.0,5.3
JFK: The Smoking Gun,2013-11-15,1.0,0.0
The Legend of Bloody Jack,2007-02-27,3.0,3.8
The Unholy Four,1970-03-11,2.0,6.0
Charleston,1977-03-05,10.0,5.3
Trinità & Bambino... e adesso tocca a noi,1995-07-29,0.0,0.0
The Immortal Bachelor,1975-02-19,2.0,6.0
Diary Of A Telephone Operator,1969-11-06,0.0,0.0
The Protagonists,1968-06-07,1.0,5.0
Bachelor Party Vegas,2006-04-25,18.0,5.0
A Fugitive from the Past,1965-01-15,7.0,7.5
A Blank on the Map,1971-12-29,0.0,0.0
Cool Breeze,1972-03-29,3.0,6.0
Arabian Adventure,1979-07-08,8.0,5.8
Fear in the Night,1972-07-09,6.0,6.7
Twins of Evil,1971-10-03,33.0,6.8
The Hellfire Club,1961-02-03,1.0,0.0
Sword of Sherwood Forest,1960-12-26,7.0,5.4
Sherlock Holmes and the Masks of Death,1984-12-23,2.0,6.5
Vuonna 85,2013-01-24,4.0,6.1
Teen Spirit,2007-08-01,4.0,3.8
George Carlin: It's Bad for Ya!,2008-03-01,33.0,8.1
Poison,1951-11-30,7.0,5.1
Forgive Me,2006-11-22,7.0,7.0
Papa,2005-06-01,11.0,6.1
Letters From a Killer,1998-08-21,22.0,5.0
Call Me Elisabeth,2006-11-15,2.0,5.5
The Color of Milk,2004-08-27,2.0,5.0
Repatriation,2004-04-24,1.0,5.0
Slingshot Hip Hop,2008-01-18,2.0,9.0
Island,2011-04-22,2.0,5.5
Parked,2010-09-01,18.0,6.7
Code Name Coq Rouge,1989-08-25,5.0,5.8
So Ends Our Night,1941-02-27,1.0,6.0
66 Scenes from America,1982-03-27,3.0,7.0
Jimi Hendrix: Hear My Train A Comin',2013-11-05,12.0,6.6
Death of a Corrupt Man,1977-12-07,15.0,6.2
The Third Reich: The Rise & Fall,2010-12-14,4.0,9.0
Ismael,2013-12-26,16.0,5.9
Tracers,2015-01-15,437.0,5.9
"McFarland, USA",2015-02-20,216.0,7.4
A Black Ribbon for Deborah,1974-09-01,0.0,0.0
We Always Lie to Strangers,2013-04-04,1.0,5.0
Kids for Cash,2014-02-07,27.0,6.9
Bomber,2009-03-14,3.0,6.0
Missionary,2013-07-25,7.0,5.1
Wolf Totem,2015-02-19,137.0,6.4
Urban Warriors,1987-12-30,0.0,0.0
Shoot the Living and Pray for the Dead,1971-08-13,4.0,3.6
Who Killed the Prosecutor and Why?,1972-04-15,1.0,6.0
Hole in the Forehead,1968-05-25,0.0,0.0
Arnold,1973-11-16,3.0,4.8
The Robot vs. The Aztec Mummy,1958-07-17,10.0,2.8
The Forgotten Woman,2008-01-01,0.0,0.0
My Own Man,2014-03-06,3.0,7.3
The Lazarus Effect,2015-01-29,517.0,5.1
The Walking Hills,1949-03-05,4.0,4.8
Too Many Ways to Be No. 1,1997-03-14,1.0,5.0
Assa,1987-11-01,11.0,6.8
Los Flamencos,2013-09-07,3.0,6.5
My Best Friend's Wife,1998-12-16,12.0,6.3
That's Life,1998-01-01,206.0,7.5
Chiedimi se sono felice,2000-12-15,273.0,7.5
Cose da pazzi,2005-03-25,25.0,6.9
Bad Man's River,1971-12-03,7.0,4.0
The Fourth Victim,1971-04-14,2.0,6.3
Life Goes On,1969-12-22,7.0,5.5
Unfinished Business,2015-03-05,322.0,5.0
Gods,2014-10-10,38.0,7.9
Mutantes,2009-12-21,3.0,4.0
The Connection,2014-12-03,259.0,7.1
The Beehive,1982-10-11,9.0,7.2
Unchained,1955-08-25,0.0,0.0
The Children of Sanchez,1978-06-16,2.0,6.0
Street People,1976-03-30,3.0,6.2
Violence for Kicks,1979-03-03,1.0,6.0
The Police Serve the Citizens?,1973-01-01,2.0,6.8
Covert Action,1978-03-03,0.0,0.0
Jacky in the Kingdom of Women,2014-01-29,47.0,5.5
Soulless,2012-10-04,25.0,5.5
Arc,2006-10-20,4.0,6.0
Chronic Town,2010-10-26,0.0,0.0
Ghost in the Shell Arise - Border 1: Ghost Pain,2013-06-22,50.0,7.1
About Alex,2014-08-08,60.0,6.3
Xuxa in Crystal Moon,1990-06-22,16.0,5.6
Dhobi Ghat,2011-01-21,18.0,6.7
Raanjhanaa,2013-06-21,34.0,6.3
Casbah,1948-04-01,2.0,5.5
New Scenes from America,2002-01-01,1.0,8.0
The Adventurers,1970-03-25,1.0,6.5
The Voice of the Moon,1990-01-01,10.0,6.7
Whitey: United States of America v. James J. Bulger,2014-01-18,28.0,6.3
Spare Parts,2015-01-16,65.0,6.6
Bikes vs Cars,2015-03-15,3.0,7.7
LEGO DC Comics Super Heroes: Justice League vs. Bizarro League,2015-02-10,27.0,6.4
Animals United,2010-10-07,94.0,5.5
Impy's Wonderland,2008-05-01,9.0,7.1
Tom and Jerry: The Lost Dragon,2014-07-27,8.0,6.4
The Impossible Voyage,1904-10-01,32.0,7.1
Capturing Mary,2007-11-12,6.0,6.0
Floating Skyscrapers,2013-04-18,22.0,5.8
Plastic Paradise: The Great Pacific Garbage Patch,2013-04-22,6.0,6.2
Falcon Rising,2014-09-05,72.0,5.6
Somewhere Under the Broad Sky,1954-11-23,1.0,5.0
Old Man Drinking a Glass of Beer,1898-05-20,4.0,5.0
Dickson Greeting,1891-01-01,13.0,4.8
To Write Love on Her Arms,2015-03-13,48.0,6.8
Lights Out,2010-10-22,12.0,5.7
Bright Days Ahead,2013-06-19,10.0,5.6
Mardock Scramble: The Second Combustion,2011-09-03,17.0,6.4
"My Wife, A Body to Love",1973-01-26,0.0,0.0
Gardenia,1979-05-05,0.0,0.0
Pigs with a P.38,1978-09-23,0.0,0.0
"Clap, You're Dead",1974-01-01,0.0,0.0
Orders Signed in White,1974-11-13,0.0,0.0
Fear In The City,1981-01-01,0.0,0.0
The Flower with Petals of Steel,1973-11-13,2.0,7.0
The Last Hours of a Virgin,1972-05-22,0.0,0.0
Moving Alan,2003-04-04,0.0,0.0
Papusza,2013-06-30,4.0,7.6
The Return of the Exorcist,1975-08-23,1.0,4.0
The Floating Castle,2012-11-02,4.0,5.9
Familiar Ground,2011-01-06,2.0,6.5
Club Sandwich,2013-09-05,9.0,5.4
Playing,2007-01-01,14.0,7.4
Rings,2005-03-08,32.0,5.4
Butterflies Have No Memories,2009-10-18,2.0,8.5
The Dependent,1969-01-01,4.0,8.8
Nazareno Cruz and the Wolf,1975-06-05,2.0,7.0
Bestiary,2012-10-19,2.0,7.5
